start_year,cds14,enr_9_12_total,race_hisp_pct,race_white_pct,race_asian_incl_fil_pct,race_black_pct,race_urg_pct,race_asian_only_pct
2013,09737830121566,32.0,3.12,90.62,0.0,3.12,9.38,0.0
2013,09737830930073,399.0,7.77,87.72,1.75,0.75,10.03,1.0
2013,09737830930099,18.0,0.0,83.33,5.56,0.0,11.11,0.0
2013,09765960119537,52.0,48.08,36.54,9.62,1.92,50.0,7.69
2013,10101080109991,385.0,58.44,22.34,9.87,5.19,65.71,9.87
2013,10101080111682,17.0,11.76,82.35,0.0,0.0,17.65,0.0
2013,10101080119628,67.0,67.16,5.97,2.99,23.88,91.04,2.99
2013,10101081030337,292.0,57.88,11.3,3.77,24.66,83.22,3.08
2013,10101081030899,117.0,64.1,15.38,5.98,12.82,76.92,5.13
2013,10101081030923,84.0,70.24,5.95,3.57,19.05,89.29,3.57
2013,10101086069488,106.0,66.04,14.15,6.6,7.55,79.25,6.6
2013,10621170110270,44.0,40.91,38.64,6.82,11.36,52.27,4.55
2013,10621170113555,2231.0,21.25,52.98,17.71,3.54,25.15,14.34
2013,10621170118018,332.0,36.75,50.9,5.42,2.71,40.36,4.82
2013,10621171030196,2151.0,35.19,44.82,11.44,4.51,40.73,10.09
2013,10621171030469,85.0,37.65,51.76,4.71,3.53,42.35,3.53
2013,10621171030501,2592.0,25.81,54.98,13.08,2.93,29.4,10.88
2013,10621171030683,2069.0,36.01,31.46,26.2,2.9,39.97,23.92
2013,10621171031004,233.0,41.63,36.91,6.87,9.01,53.22,6.44
2013,10621171031053,2887.0,34.26,49.67,9.73,2.36,37.65,8.73
2013,10621251030113,59.0,89.83,8.47,0.0,0.0,91.53,0.0
2013,10621251030477,17.0,94.12,0.0,5.88,0.0,94.12,5.88
2013,10621251030873,2.0,0.0,100.0,0.0,0.0,0.0,0.0
2013,10621251031376,1159.0,83.09,13.63,1.98,0.86,84.04,1.55
2013,10621256057269,1.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,10621580108977,1.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,10621580120246,15.0,93.33,6.67,0.0,0.0,93.33,0.0
2013,10621581031954,15.0,73.33,6.67,0.0,20.0,93.33,0.0
2013,10621581032150,699.0,77.4,11.16,9.59,1.43,79.26,9.44
2013,10621660000001,3.0,33.33,33.33,33.33,0.0,33.33,33.33
2013,10621660108555,250.0,57.2,18.8,16.0,5.2,62.4,16.0
2013,10621660114355,455.0,52.31,37.58,2.86,4.84,59.12,2.2
2013,10621660114553,495.0,23.43,44.24,25.86,4.04,28.28,18.18
2013,10621660115196,157.0,57.32,26.11,3.18,12.1,69.43,3.18
2013,10621660120964,16.0,68.75,6.25,0.0,25.0,93.75,0.0
2013,10621661030279,2635.0,42.85,35.9,6.0,12.75,56.28,4.97
2013,10621661030287,1092.0,72.53,11.45,5.77,8.15,81.68,5.77
2013,10621661030295,1053.0,60.21,4.56,31.15,3.04,63.53,30.77
2013,10621661030584,434.0,70.97,3.23,10.83,13.36,84.56,10.83
2013,10621661030642,174.0,77.01,6.32,3.45,11.49,90.23,3.45
2013,10621661030675,3096.0,62.82,3.52,24.52,8.14,71.35,24.0
2013,10621661030717,47.0,65.96,19.15,4.26,8.51,74.47,4.26
2013,10621661030840,348.0,73.85,7.47,3.45,13.79,88.22,3.45
2013,10621661031632,193.0,66.84,7.25,3.63,20.21,87.05,3.63
2013,10621661031897,2310.0,57.58,9.39,13.9,17.75,75.84,13.16
2013,10621661032507,2330.0,70.86,11.42,7.12,8.97,80.26,6.91
2013,10621661032911,1886.0,54.03,18.72,12.78,11.98,66.81,12.25
2013,10621661034214,1921.0,67.15,5.0,19.57,6.56,74.49,19.52
2013,10621661035831,2143.0,79.28,4.48,10.08,4.9,84.83,9.94
2013,10621666112619,19.0,47.37,36.84,0.0,5.26,57.89,0.0
2013,10622570124727,45.0,64.44,33.33,0.0,0.0,64.44,0.0
2013,10622571033695,1112.0,57.46,34.89,3.42,0.45,58.45,3.33
2013,10622571033729,44.0,77.27,18.18,0.0,0.0,77.27,0.0
2013,10622650108092,630.0,97.62,0.79,0.32,0.63,98.25,0.32
2013,10622650116640,60.0,45.0,43.33,1.67,0.0,48.33,0.0
2013,10622650126292,61.0,80.33,14.75,3.28,0.0,80.33,3.28
2013,10622651030378,243.0,86.42,8.23,1.23,1.65,89.3,1.23
2013,10622651033703,86.0,96.51,2.33,0.0,0.0,96.51,0.0
2013,10622651035310,1903.0,81.14,14.24,2.26,0.53,82.08,1.37
2013,10622811033950,190.0,80.53,16.84,0.53,1.58,82.63,0.53
2013,10623310124354,23.0,73.91,8.7,0.0,13.04,86.96,0.0
2013,10623640126870,83.0,98.8,1.2,0.0,0.0,98.8,0.0
2013,10623641034990,778.0,98.59,0.51,0.9,0.0,98.59,0.9
2013,10623800124982,417.0,73.62,11.51,3.84,8.63,83.69,3.84
2013,10624141030451,129.0,85.27,10.85,2.33,0.78,86.05,2.33
2013,10624141030766,160.0,44.38,48.12,1.88,1.88,46.88,1.25
2013,10624141030824,41.0,85.37,9.76,4.88,0.0,85.37,4.88
2013,10624141036086,69.0,85.51,8.7,2.9,0.0,88.41,2.9
2013,10624141036094,2730.0,73.22,11.87,12.09,1.5,75.2,11.32
2013,10624301030758,124.0,94.35,4.03,0.81,0.81,95.16,0.81
2013,10624301036607,50.0,96.0,2.0,0.0,0.0,98.0,0.0
2013,10624301036672,1680.0,84.76,7.08,6.25,0.83,86.01,5.77
2013,10625396112387,247.0,78.95,14.17,2.02,2.83,83.4,2.02
2013,10625470120535,567.0,64.73,23.1,3.35,5.11,73.02,3.35
2013,10625470127159,12.0,83.33,8.33,8.33,0.0,83.33,0.0
2013,10625476007421,1.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,10738090123950,1.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,10738091030121,699.0,91.99,7.15,0.14,0.72,92.7,0.14
2013,10738091030147,7.0,85.71,14.29,0.0,0.0,85.71,0.0
2013,10738096006019,2.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,10739650114751,21.0,38.1,28.57,0.0,33.33,71.43,0.0
2013,10739651030386,265.0,62.64,16.98,7.55,10.94,73.96,6.42
2013,10739651030626,4133.0,52.31,19.6,15.61,10.02,62.98,14.25
