ceeb,campus,year,applicants,admits,denied,app_gpa,adm_gpa,den_gpa
051881,Santa Barbara,2012,,,,3.93,,
051763,San Diego,2022,10.0,4.0,6.0,4.08,,
051985,Riverside,1997,5.0,4.0,1.0,,,
052430,Davis,2025,38.0,13.0,25.0,3.8,4.16,3.6128000000000005
050208,Los Angeles,2004,5.0,,,,,
050050,Santa Barbara,2000,61.0,22.0,39.0,3.37,3.71,3.178205128205128
053435,San Diego,2005,20.0,8.0,12.0,,,
053229,Santa Cruz,2022,232.0,100.0,132.0,4.01,4.23,3.8433333333333324
053243,Riverside,2015,37.0,18.0,19.0,3.73,3.91,3.559473684210526
052298,Merced,2011,9.0,9.0,0.0,3.73,3.73,
050947,San Diego,2013,17.0,8.0,9.0,3.95,4.2,3.7277777777777783
053763,Irvine,2011,38.0,14.0,24.0,,,
004689,Santa Cruz,2021,52.0,24.0,28.0,,,
050545,Irvine,2017,20.0,10.0,10.0,3.87,4.12,3.62
050975,Riverside,2014,13.0,7.0,6.0,3.59,3.86,3.2750000000000004
050804,Universitywide,2003,119.0,111.0,8.0,3.7,3.75,3.0062500000000014
054120,Davis,2010,5.0,,,3.38,,
004315,Merced,2022,80.0,41.0,39.0,,,
054234,Irvine,2012,,,,4.0,4.2,
053795,Davis,2000,9.0,5.0,4.0,3.57,3.92,3.1324999999999985
004005,Davis,2020,59.0,26.0,33.0,,,
004027,Santa Barbara,2023,6.0,4.0,2.0,,,
052916,Santa Barbara,2015,56.0,24.0,32.0,3.83,4.23,3.5300000000000002
050423,Santa Barbara,2010,78.0,34.0,44.0,,,
053173,Santa Barbara,2011,8.0,5.0,3.0,,,
053242,Irvine,2000,39.0,19.0,20.0,3.61,3.89,3.344
051009,San Diego,2014,260.0,82.0,178.0,3.77,4.06,3.636404494382023
004295,Davis,2011,724.0,480.0,244.0,,,
051986,Merced,2014,18.0,17.0,1.0,3.6,3.61,3.4299999999999997
050602,Irvine,2014,93.0,46.0,47.0,3.83,4.16,3.5070212765957445
052327,Irvine,2003,114.0,55.0,59.0,3.41,3.76,3.0837288135593224
050819,Santa Cruz,2015,8.0,6.0,2.0,3.84,4.06,3.1799999999999997
054715,Merced,2020,,,,3.28,,
051301,Los Angeles,2010,58.0,6.0,52.0,3.68,4.22,3.617692307692308
050440,Berkeley,2023,7.0,,,4.03,,
051242,San Diego,1999,24.0,13.0,11.0,3.66,4.07,3.1754545454545453
050330,Berkeley,2009,5.0,,,3.86,,
050628,Berkeley,2011,44.0,10.0,34.0,3.96,4.3,3.8600000000000003
051728,Santa Barbara,2011,9.0,3.0,6.0,3.69,,
050338,Universitywide,2022,36.0,24.0,12.0,3.82,3.94,3.5799999999999983
053096,Riverside,2018,29.0,16.0,13.0,3.68,3.89,3.421538461538461
